id,customer_id,start_date,end_date,amount
1,11,2022-03-05,2022-03-05,2000
2,12,2022-04-01,2022-04-02,4200
3,12,2022-04-26,2022-04-26,1200
4,13,2022-05-01,2022-05-01,2000
5,15,2022-05-11,2022-05-13,5400
6,14,2022-06-10,2022-06-10,1800
7,11,2022-06-20,2022-06-23,6300
8,12,2022-07-12,2022-07-12,1500
9,13,2022-07-20,2022-07-22,5900
10,14,2022-07-31,2022-08-01,3600
11,12,2022-08-15,2022-08-15,1800
12,13,2022-08-30,2022-09-02,8000
13,11,2022-09-17,2022-09-17,2200
14,6,2022-02-16,2022-02-16,3356
15,11,2022-10-31,2022-11-01,4500
16,21,2022-03-05,2022-03-05,6700
17,21,2022-06-07,2022-06-07,6700
18,21,2022-10-08,2022-10-08,6700
